출금계좌일련번호,입금계좌일련번호,출금금융회사일련번호,입금금융회사일련번호,자금구분,거래금액,거래시간대,매체구분,거래일자,이상거래유형,이상거래여부,이상거래설명
9000000004236028,9000000004371865,145,131,0,300000,15,4,20241007,,0,
9000000004233704,9000000004248098,134,133,0,90000,15,4,20241118,,0,
9000000004241584,9000000004393788,156,145,0,30000,12,2,20241101,,0,
9000000004232576,9000000004280772,134,159,0,9000,18,4,20241216,,0,
9000000000038815,9000000002263316,159,157,0,30000,9,2,20241102,,0,
9000000000037725,9000000003153016,157,116,0,30000,15,2,20241221,,0,
9000000004230182,9000000004291070,132,131,0,300000,15,2,20241009,,0,
9000000004235190,9000000004287478,134,159,0,40000,15,2,20241216,,0,
9000000004243650,9000000004425825,160,155,0,300000,15,2,20241222,,0,
9000000004243075,9000000004421533,159,160,0,300000,12,2,20241202,,0,
9000000004230782,9000000004247599,133,159,0,300000,9,2,20241102,,0,
9000000004234408,9000000004287933,134,133,0,40000,9,2,20241107,,0,
9000000000009822,9000000001111640,133,159,0,300000,9,2,20241101,,0,
9000000004241767,9000000004409903,157,160,0,30000,12,2,20241019,,0,
9000000004240133,9000000004334699,152,155,0,300000,12,2,20241211,,0,
9000000000008928,9000000001148400,133,157,0,30000,18,4,20241124,,0,
9000000000039248,9000000003436656,159,133,0,300000,12,2,20241010,,0,
9000000000034995,9000000002717704,156,131,0,90000,18,2,20241116,,0,
9000000000011338,9000000003895160,133,155,0,30000,9,4,20241216,,0,
9000000004242948,9000000004415690,159,128,0,30000,12,2,20241019,,0,
9000000000043621,9000000004138160,160,159,0,30000,15,2,20241231,,0,
9000000004229631,9000000004260283,131,159,0,30000,15,4,20241231,,0,
9000000000006481,9000000000353941,131,130,0,30000,18,4,20241109,,0,
9000000004233601,9000000004286398,134,159,0,300000,9,2,20241012,,0,
9000000000002634,9000000000211798,131,156,0,4000,18,4,20241018,,0,
9000000000030725,9000000002492090,155,133,0,300000,15,2,20241016,,0,
9000000000030884,9000000002493776,155,159,0,30000,12,4,20241205,,0,
9000000000035853,9000000001279469,157,133,0,300000,15,2,20241231,,0,
9000000004243670,9000000004441825,160,155,0,40000,15,2,20241213,,0,
9000000004230023,9000000004262967,131,159,0,40000,12,4,20241014,,0,
9000000004235054,9000000004305597,134,133,0,300000,12,4,20241002,,0,
9000000000030476,9000000002735670,155,121,0,30000,15,2,20241217,,0,
9000000004240666,9000000004388030,155,133,0,30000,12,2,20241202,,0,
9000000000016418,9000000000274038,134,159,0,300000,12,4,20241030,,0,
9000000004242585,9000000004415882,159,160,0,300000,15,2,20241102,,0,
9000000000041028,9000000003625122,159,155,0,300000,9,2,20241221,,0,
9000000000020519,9000000001435305,135,159,0,100000,18,4,20241010,,0,
9000000004234896,9000000004246060,134,159,0,300000,18,4,20241111,,0,
9000000000044046,9000000004192699,160,131,0,90000,12,7,20241225,,0,
9000000004230118,9000000004287712,132,130,0,40000,15,2,20241129,,0,
9000000000032802,9000000002823926,156,131,0,30000,12,2,20241213,,0,
9000000000011564,9000000000400106,133,133,0,30000,21,2,20241014,,0,
9000000000039600,9000000002251163,159,145,0,300000,9,2,20241003,,0,
9000000004230733,9000000004292878,133,155,0,300000,12,4,20241204,,0,
